train episode:115, reward = 0.9235691539216331, state count = 9, state = [6, 69, 76, 79, 149, 153, 156, 158, 165]
train episode:116, reward = 0.9467996676598901, state count = 9, state = [6, 8, 79, 115, 153, 156, 158, 165, 182]
train episode:117, reward = 0.9519051676588907, state count = 9, state = [6, 42, 65, 71, 79, 143, 158, 165, 168]
train episode:118, reward = 0.7746717367018993, state count = 9, state = [6, 18, 19, 79, 115, 153, 156, 158, 165]
evaluate episode:11.9, reward = 0.9026610065928444, state count = 9, state = [6, 8, 79, 104, 115, 153, 156, 158, 165]
train episode:119, reward = 0.9458721279959071, state count = 9, state = [6, 41, 79, 135, 153, 156, 158, 165, 183]
train episode:120, reward = 0.9472556211042965, state count = 9, state = [6, 8, 65, 79, 115, 153, 156, 158, 165]
train episode:121, reward = 0.8870860736903741, state count = 9, state = [6, 7, 20, 79, 115, 153, 156, 158, 165]
train episode:122, reward = 0.9289131499167651, state count = 9, state = [6, 29, 60, 79, 115, 153, 156, 158, 165]
train episode:123, reward = 0.8991882597808514, state count = 9, state = [5, 6, 21, 79, 107, 153, 156, 158, 165]
train episode:124, reward = 0.9672470028437763, state count = 9, state = [6, 57, 63, 79, 103, 156, 158, 165, 178]
train episode:125, reward = 0.9667845769608168, state count = 9, state = [6, 7, 38, 57, 76, 79, 93, 158, 165]
train episode:126, reward = 0.9010438661966343, state count = 9, state = [6, 79, 103, 115, 153, 156, 158, 159, 165]
train episode:127, reward = 0.9019633321742399, state count = 9, state = [6, 79, 115, 117, 153, 156, 158, 165, 176]
train episode:128, reward = 0.9582020085293301, state count = 9, state = [6, 58, 66, 68, 79, 107, 112, 122, 165]
evaluate episode:12.9, reward = 0.9010438661966343, state count = 9, state = [6, 79, 107, 115, 153, 156, 158, 165, 174]
train episode:129, reward = 0.9430862740337057, state count = 9, state = [6, 14, 28, 29, 43, 79, 96, 158, 165]
train episode:130, reward = 0.9012753476781159, state count = 9, state = [6, 79, 107, 115, 153, 156, 158, 165, 171]
train episode:131, reward = 0.9038237972905188, state count = 9, state = [6, 37, 79, 107, 115, 153, 156, 158, 165]
train episode:132, reward = 0.9189368438880795, state count = 9, state = [6, 79, 87, 115, 149, 153, 156, 158, 165]
train episode:133, reward = 0.9540030396230147, state count = 9, state = [6, 55, 68, 79, 127, 153, 156, 158, 165]
train episode:134, reward = 0.9586638923361932, state count = 9, state = [6, 20, 79, 112, 118, 120, 123, 158, 165]
train episode:135, reward = 0.8949957383326239, state count = 9, state = [6, 79, 129, 139, 153, 156, 158, 165, 169]
train episode:136, reward = 0.7762996461766898, state count = 9, state = [6, 19, 61, 68, 79, 133, 147, 148, 165]
train episode:137, reward = 0.9221765029746736, state count = 9, state = [6, 79, 91, 104, 115, 153, 156, 158, 165]
train episode:138, reward = 0.8989330768339159, state count = 9, state = [6, 79, 81, 147, 153, 156, 158, 165, 171]
evaluate episode:13.9, reward = 0.9010438661966343, state count = 9, state = [6, 79, 104, 115, 153, 156, 158, 165, 174]
train episode:139, reward = 0.8785132026755077, state count = 9, state = [6, 42, 91, 113, 146, 158, 159, 163, 165]
train episode:140, reward = 0.8796727609009753, state count = 9, state = [6, 51, 79, 115, 132, 153, 156, 158, 165]
train episode:141, reward = 0.9282176313123138, state count = 9, state = [6, 30, 35, 79, 104, 153, 156, 158, 165]
train episode:142, reward = 0.9235756188660467, state count = 9, state = [6, 27, 45, 79, 93, 116, 156, 158, 165]
train episode:143, reward = 0.9196232146461467, state count = 9, state = [6, 29, 79, 115, 147, 153, 156, 158, 165]
train episode:144, reward = 0.9628289402687098, state count = 9, state = [6, 16, 38, 79, 143, 153, 156, 158, 165]
train episode:145, reward = 0.9142776074110046, state count = 9, state = [6, 78, 79, 115, 134, 153, 156, 158, 165]
train episode:146, reward = 0.9012764243361693, state count = 9, state = [6, 79, 104, 115, 142, 153, 156, 158, 165]
train episode:147, reward = 0.989778213437092, state count = 9, state = [6, 13, 33, 58, 91, 137, 158, 165, 172]
train episode:148, reward = 0.8942975268340158, state count = 9, state = [6, 70, 79, 99, 129, 153, 156, 158, 165]
evaluate episode:14.9, reward = 0.8996469011233217, state count = 9, state = [6, 79, 104, 115, 153, 156, 158, 165, 169]
train episode:149, reward = 0.8878020612880727, state count = 9, state = [2, 6, 7, 79, 115, 153, 156, 158, 165]
train episode:150, reward = 0.9767657316978123, state count = 9, state = [6, 8, 35, 48, 49, 79, 155, 158, 165]
train episode:151, reward = 0.9551620607684791, state count = 9, state = [6, 16, 49, 79, 115, 153, 156, 158, 165]
train episode:152, reward = 0.8996469011233217, state count = 9, state = [6, 79, 104, 115, 153, 156, 158, 165, 169]
train episode:153, reward = 0.9844326086999967, state count = 9, state = [6, 47, 68, 79, 126, 156, 158, 165, 174]
train episode:154, reward = 0.9217162254117278, state count = 9, state = [6, 76, 79, 118, 156, 158, 161, 165, 170]
train episode:155, reward = 0.9077697490562381, state count = 9, state = [6, 79, 115, 121, 133, 153, 156, 158, 165]
train episode:156, reward = 0.9458834266603517, state count = 9, state = [6, 43, 60, 77, 79, 153, 156, 158, 165]
train episode:157, reward = 0.8980168533207034, state count = 9, state = [6, 12, 79, 153, 156, 158, 165, 178, 181]
train episode:158, reward = 0.9507558439300465, state count = 9, state = [6, 31, 79, 90, 115, 153, 156, 158, 165]
evaluate episode:15.9, reward = 0.9010438661966343, state count = 9, state = [6, 79, 104, 107, 115, 153, 156, 158, 165]
train episode:159, reward = 0.9451733769192492, state count = 9, state = [6, 79, 93, 115, 153, 156, 158, 165, 183]
train episode:160, reward = 0.9033581414333991, state count = 9, state = [6, 11, 79, 125, 153, 156, 157, 158, 165]
train episode:161, reward = 0.9612026595202551, state count = 9, state = [6, 26, 70, 78, 79, 153, 156, 158, 165]
train episode:162, reward = 0.952846174291704, state count = 9, state = [6, 24, 31, 63, 79, 153, 156, 158, 165]
train episode:163, reward = 0.9435524619747359, state count = 9, state = [6, 76, 79, 113, 119, 150, 156, 158, 165]
train episode:164, reward = 0.9033586810114491, state count = 9, state = [6, 39, 69, 79, 144, 153, 156, 158, 165]
train episode:165, reward = 0.905451164689213, state count = 9, state = [6, 32, 79, 115, 127, 153, 156, 158, 165]
train episode:166, reward = 0.9426136186502155, state count = 9, state = [6, 56, 79, 96, 98, 119, 156, 158, 165]
train episode:167, reward = 0.9349548103383153, state count = 9, state = [6, 43, 46, 72, 79, 82, 156, 158, 165]
train episode:168, reward = 0.9010438661966343, state count = 9, state = [6, 79, 104, 107, 115, 153, 156, 158, 165]
evaluate episode:16.9, reward = 0.9010438661966343, state count = 9, state = [6, 79, 104, 107, 115, 153, 156, 158, 165]
train episode:169, reward = 0.9530744233009786, state count = 9, state = [6, 23, 28, 79, 115, 153, 156, 158, 165]
train episode:170, reward = 0.9368206612429081, state count = 9, state = [6, 28, 79, 104, 115, 153, 156, 158, 165]
train episode:171, reward = 0.9070742279537403, state count = 9, state = [6, 79, 115, 123, 128, 153, 156, 158, 165]
train episode:172, reward = 0.8933775362666395, state count = 9, state = [6, 49, 79, 104, 115, 153, 156, 158, 165]
train episode:173, reward = 0.9105830540517313, state count = 9, state = [5, 28, 39, 79, 121, 158, 165, 170, 179]
train episode:174, reward = 0.91847603673927, state count = 9, state = [6, 13, 52, 74, 79, 87, 134, 158, 165]
train episode:175, reward = 0.9221765029746736, state count = 9, state = [6, 79, 91, 104, 115, 153, 156, 158, 165]
train episode:176, reward = 0.9052218365238384, state count = 9, state = [6, 78, 79, 115, 153, 156, 158, 164, 165]
train episode:177, reward = 0.9026690802792217, state count = 9, state = [6, 79, 84, 115, 137, 153, 156, 158, 165]
train episode:178, reward = 0.9054420143447824, state count = 9, state = [6, 30, 79, 104, 115, 153, 156, 158, 165]
evaluate episode:17.9, reward = 0.9017383106410787, state count = 9, state = [6, 79, 104, 115, 153, 156, 158, 165, 170]
train episode:179, reward = 0.9574828009496574, state count = 9, state = [6, 40, 79, 82, 115, 153, 156, 158, 165]
train episode:180, reward = 0.9196232146461467, state count = 9, state = [6, 29, 79, 115, 117, 153, 156, 158, 165]
train episode:181, reward = 0.9681691617155386, state count = 9, state = [6, 23, 41, 79, 153, 155, 156, 158, 165]
train episode:182, reward = 0.9017383106410787, state count = 9, state = [6, 79, 104, 115, 153, 156, 158, 165, 170]
train episode:183, reward = 0.9033586810114491, state count = 9, state = [6, 79, 104, 115, 124, 153, 156, 158, 165]
train episode:184, reward = 0.9770009827315038, state count = 9, state = [6, 67, 79, 88, 115, 153, 156, 158, 165]
train episode:185, reward = 0.9602643357894127, state count = 9, state = [4, 6, 43, 47, 79, 82, 87, 138, 158]
train episode:186, reward = 0.9932612022398484, state count = 9, state = [6, 17, 79, 147, 153, 156, 158, 165, 182]
train episode:187, reward = 0.9844326086999967, state count = 9, state = [3, 4, 6, 47, 79, 157, 158, 163, 165]
train episode:188, reward = 0.9607310683045858, state count = 9, state = [6, 65, 79, 99, 111, 156, 158, 165, 183]
evaluate episode:18.9, reward = 0.8996549773077455, state count = 9, state = [6, 39, 79, 104, 115, 153, 156, 158, 165]
train episode:189, reward = 0.8845343916057644, state count = 9, state = [6, 50, 79, 115, 153, 156, 158, 161, 165]
train episode:190, reward = 0.9189368438880795, state count = 9, state = [6, 79, 87, 101, 115, 153, 156, 158, 165]
train episode:191, reward = 0.9914055833338329, state count = 9, state = [6, 33, 79, 104, 115, 153, 156, 158, 165]
train episode:192, reward = 0.8852121466013578, state count = 9, state = [6, 51, 79, 81, 107, 130, 154, 158, 165]
train episode:193, reward = 0.9200894075832698, state count = 9, state = [6, 24, 29, 79, 129, 156, 158, 165, 170]
train episode:194, reward = 0.9461019932412855, state count = 9, state = [6, 79, 126, 153, 156, 158, 160, 165, 182]
train episode:195, reward = 0.9228714795030285, state count = 9, state = [6, 39, 76, 79, 115, 153, 156, 158, 165]
train episode:196, reward = 0.9277525150332441, state count = 9, state = [6, 22, 79, 113, 115, 153, 156, 158, 165]
train episode:197, reward = 0.9395984365226393, state count = 9, state = [6, 66, 79, 115, 153, 156, 158, 160, 165]
train episode:198, reward = 0.9579500730428805, state count = 9, state = [6, 22, 52, 79, 135, 153, 156, 158, 165]
evaluate episode:19.9, reward = 0.9010438661966343, state count = 9, state = [6, 79, 96, 115, 128, 153, 156, 158, 165]
train episode:199, reward = 0.8982531685222156, state count = 9, state = [6, 79, 105, 151, 153, 155, 156, 158, 165]
train episode:200, reward = 0.9842011272185152, state count = 9, state = [6, 37, 54, 79, 115, 153, 156, 158, 165]
train episode:201, reward = 0.9182203167123308, state count = 9, state = [6, 76, 79, 121, 124, 137, 156, 158, 165]
train episode:202, reward = 0.9535422274781121, state count = 9, state = [6, 25, 66, 73, 86, 112, 158, 160, 165]
train episode:203, reward = 0.9416823119320691, state count = 9, state = [6, 79, 115, 128, 153, 156, 158, 165, 182]
train episode:204, reward = 0.904289450649592, state count = 9, state = [6, 79, 115, 153, 156, 158, 165, 168, 181]
train episode:205, reward = 0.9502939576251371, state count = 9, state = [6, 59, 64, 79, 110, 117, 156, 158, 165]
train episode:206, reward = 0.9089465363086067, state count = 9, state = [6, 64, 79, 115, 153, 156, 158, 165, 166]
train episode:207, reward = 0.9168411177459227, state count = 3, state = [6, 158, 165]
train episode:208, reward = 0.9045203950510701, state count = 9, state = [6, 41, 79, 115, 128, 153, 156, 158, 165]
evaluate episode:20.9, reward = 0.9010438661966343, state count = 9, state = [6, 79, 107, 115, 128, 153, 156, 158, 165]
train episode:209, reward = 0.9010438661966343, state count = 9, state = [6, 79, 115, 153, 156, 158, 160, 165, 174]
train episode:210, reward = 0.9029005617607032, state count = 9, state = [6, 42, 79, 115, 137, 153, 156, 158, 165]
train episode:211, reward = 0.9423896762731545, state count = 9, state = [6, 79, 115, 145, 148, 153, 156, 158, 165]
train episode:212, reward = 0.9563227006480932, state count = 9, state = [6, 15, 58, 79, 121, 153, 156, 158, 165]
train episode:213, reward = 0.8627246143515771, state count = 3, state = [6, 158, 176]
train episode:214, reward = 0.9637672440151801, state count = 9, state = [6, 34, 57, 79, 140, 153, 156, 158, 165]
train episode:215, reward = 0.9003467313560796, state count = 9, state = [6, 79, 107, 115, 150, 153, 156, 158, 165]
train episode:216, reward = 0.9033586810114491, state count = 9, state = [6, 69, 79, 115, 153, 156, 158, 160, 165]
train episode:217, reward = 0.8889573153793732, state count = 9, state = [6, 7, 9, 79, 115, 153, 156, 158, 165]
train episode:218, reward = 0.9052099957832975, state count = 9, state = [6, 30, 79, 115, 153, 156, 158, 165, 181]
evaluate episode:21.9, reward = 0.9008118476351493, state count = 9, state = [6, 79, 115, 128, 153, 156, 158, 165, 181]
train episode:219, reward = 0.9026620832508978, state count = 9, state = [6, 39, 79, 138, 154, 158, 160, 165, 167]
train episode:220, reward = 0.9042932177037557, state count = 9, state = [6, 79, 83, 115, 153, 156, 158, 165, 171]
train episode:221, reward = 0.9500597832494988, state count = 9, state = [6, 26, 31, 68, 79, 153, 156, 158, 165]
train episode:222, reward = 0.8991704786856678, state count = 9, state = [2, 6, 49, 79, 86, 99, 156, 158, 165]
train episode:223, reward = 0.9008118476351493, state count = 9, state = [6, 79, 115, 128, 153, 156, 158, 165, 181]
train episode:224, reward = 0.9598099935850165, state count = 9, state = [6, 38, 40, 66, 79, 105, 126, 158, 165]
train episode:225, reward = 0.8943131371267669, state count = 9, state = [6, 53, 79, 115, 140, 153, 156, 158, 165]
train episode:226, reward = 0.9256654096496539, state count = 9, state = [6, 43, 79, 115, 142, 153, 156, 158, 165]
train episode:227, reward = 0.9012764243361693, state count = 9, state = [6, 79, 115, 128, 153, 154, 156, 158, 165]
train episode:228, reward = 0.8905685204170339, state count = 9, state = [6, 79, 131, 153, 156, 158, 159, 165, 166]
evaluate episode:22.9, reward = 0.9010438661966343, state count = 9, state = [6, 79, 105, 115, 128, 153, 156, 158, 165]
train episode:229, reward = 0.9228714795030285, state count = 9, state = [6, 39, 76, 79, 115, 153, 156, 158, 165]
