train episode:201, reward = 0.8002059935414918, state count = 8, state = [9, 11, 78, 81, 82, 142, 143, 154]
train episode:202, reward = 0.9924771877065263, state count = 8, state = [11, 25, 78, 81, 82, 153, 154, 171]
train episode:203, reward = 0.8908531471800879, state count = 8, state = [11, 34, 78, 81, 82, 154, 156, 171]
train episode:204, reward = 0.9924771877065263, state count = 8, state = [11, 22, 78, 81, 82, 154, 171, 180]
train episode:205, reward = 0.8847555878838099, state count = 8, state = [43, 65, 78, 81, 82, 99, 135, 154]
train episode:206, reward = 0.8922726098416428, state count = 8, state = [11, 78, 81, 82, 121, 153, 154, 171]
train episode:207, reward = 0.853046997037558, state count = 8, state = [45, 78, 81, 82, 105, 130, 154, 173]
train episode:208, reward = 0.8784535565205444, state count = 8, state = [11, 78, 81, 82, 153, 154, 169, 171]
evaluate episode:20.9, reward = 0.8855657016857366, state count = 8, state = [2, 11, 78, 81, 82, 153, 154, 171]
train episode:209, reward = 0.9965442981332314, state count = 8, state = [25, 33, 68, 78, 81, 122, 153, 154]
train episode:210, reward = 0.9359726583306657, state count = 8, state = [11, 78, 81, 82, 154, 162, 163, 171]
train episode:211, reward = 0.9298784089971337, state count = 8, state = [39, 55, 78, 81, 113, 154, 179, 181]
train episode:212, reward = 0.8812974106821414, state count = 8, state = [11, 78, 81, 82, 117, 145, 154, 171]
train episode:213, reward = 0.7788595441910926, state count = 8, state = [11, 57, 78, 81, 82, 103, 154, 165]
train episode:214, reward = 0.9254043704741381, state count = 8, state = [11, 44, 78, 81, 82, 141, 154, 168]
train episode:215, reward = 0.9312974493067703, state count = 8, state = [11, 78, 81, 82, 134, 151, 154, 162]
train episode:216, reward = 0.9518284084748615, state count = 8, state = [11, 36, 59, 78, 81, 82, 154, 171]
train episode:217, reward = 0.9095507052202262, state count = 8, state = [11, 78, 81, 82, 129, 154, 168, 171]
train episode:218, reward = 0.9144266943004054, state count = 8, state = [11, 78, 81, 82, 154, 167, 171, 174]
evaluate episode:21.9, reward = 0.8607689537182569, state count = 8, state = [11, 78, 81, 82, 105, 153, 154, 171]
train episode:219, reward = 0.8904433381902963, state count = 8, state = [11, 50, 78, 81, 82, 153, 154, 171]
train episode:220, reward = 0.9914629939615599, state count = 8, state = [2, 26, 77, 78, 81, 82, 84, 154]
train episode:221, reward = 0.9148398065356164, state count = 8, state = [4, 78, 81, 82, 120, 135, 154, 179]
train episode:222, reward = 0.8607689537182569, state count = 8, state = [11, 78, 81, 82, 105, 153, 154, 171]
train episode:223, reward = 0.922153987057525, state count = 8, state = [11, 55, 78, 81, 85, 102, 154, 157]
train episode:224, reward = 0.9280466552935607, state count = 8, state = [11, 20, 78, 81, 82, 154, 166, 176]
train episode:225, reward = 0.8953243115269091, state count = 8, state = [11, 78, 81, 82, 126, 154, 169, 171]
train episode:226, reward = 0.8638234993517276, state count = 8, state = [10, 11, 78, 81, 82, 141, 154, 176]
train episode:227, reward = 0.911787712726402, state count = 8, state = [11, 55, 78, 81, 82, 86, 132, 154]
train episode:228, reward = 0.8898339943686635, state count = 8, state = [8, 11, 78, 81, 82, 154, 157, 171]
evaluate episode:22.9, reward = 0.8957332741335329, state count = 8, state = [11, 78, 81, 82, 134, 153, 154, 171]
train episode:229, reward = 0.9926833323878697, state count = 8, state = [33, 78, 81, 83, 92, 154, 168, 174]
train episode:230, reward = 0.8603649014774728, state count = 8, state = [10, 30, 45, 78, 81, 146, 154, 171]
train episode:231, reward = 0.8906474164540045, state count = 8, state = [11, 78, 81, 82, 118, 151, 154, 171]
train episode:232, reward = 0.8276388220374935, state count = 8, state = [11, 49, 57, 78, 81, 82, 93, 154]
train episode:233, reward = 0.8046560495287307, state count = 8, state = [2, 15, 21, 78, 81, 90, 108, 154]
train episode:234, reward = 0.8792710828925172, state count = 8, state = [11, 32, 78, 81, 82, 136, 154, 173]
train episode:235, reward = 0.7418726383768467, state count = 8, state = [11, 53, 78, 81, 82, 100, 154, 157]
train episode:236, reward = 0.8906474164540045, state count = 8, state = [11, 78, 81, 82, 151, 153, 154, 171]
train episode:237, reward = 0.9357694062981453, state count = 8, state = [11, 78, 81, 82, 100, 137, 154, 163]
train episode:238, reward = 0.8540760696612308, state count = 8, state = [6, 11, 78, 81, 82, 130, 148, 154]
evaluate episode:23.9, reward = 0.8957332741335329, state count = 8, state = [11, 78, 81, 82, 134, 153, 154, 171]
train episode:239, reward = 0.8607689537182569, state count = 8, state = [11, 78, 81, 82, 136, 153, 154, 171]
train episode:240, reward = 0.9585365467412249, state count = 8, state = [11, 13, 48, 78, 81, 82, 154, 171]
train episode:241, reward = 0.8894274903036228, state count = 8, state = [6, 11, 78, 81, 82, 107, 154, 171]
train episode:242, reward = 0.8863803824301737, state count = 8, state = [11, 78, 81, 82, 91, 154, 171, 180]
train episode:243, reward = 0.8512202208730919, state count = 8, state = [11, 66, 78, 81, 82, 86, 154, 171]
