train episode:192, reward = 0.9912576755114044, state count = 10, state = [17, 66, 76, 85, 87, 141, 161, 170, 174, 183]
train episode:193, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 104, 133, 141, 161, 170, 174, 183]
train episode:194, reward = 0.9912576755114044, state count = 10, state = [5, 17, 66, 76, 87, 141, 161, 170, 174, 183]
train episode:195, reward = 0.9951227724127047, state count = 10, state = [17, 44, 47, 60, 62, 76, 141, 161, 170, 174]
train episode:196, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 115, 120, 141, 149, 161, 170, 174]
train episode:197, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 141, 159, 161, 162, 170, 174, 183]
train episode:198, reward = 0.9953227195204741, state count = 10, state = [17, 74, 76, 86, 139, 141, 161, 170, 172, 174]
evaluate episode:19.9, reward = 0.9922739373533377, state count = 10, state = [17, 66, 76, 87, 91, 141, 161, 170, 174, 183]
train episode:199, reward = 0.9884100789591528, state count = 10, state = [17, 57, 76, 87, 119, 141, 161, 170, 174, 183]
train episode:200, reward = 0.9926812710082296, state count = 10, state = [17, 76, 93, 95, 103, 110, 141, 161, 170, 174]
train episode:201, reward = 0.9922739373533377, state count = 10, state = [17, 66, 76, 87, 91, 141, 161, 170, 174, 183]
train episode:202, reward = 0.9949166260520299, state count = 10, state = [17, 20, 44, 70, 76, 81, 141, 161, 170, 174]
train episode:203, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 100, 139, 141, 147, 161, 170, 174]
train episode:204, reward = 0.9926812710082296, state count = 10, state = [17, 27, 76, 98, 111, 141, 153, 161, 170, 174]
train episode:205, reward = 0.9912576755114044, state count = 10, state = [17, 66, 76, 85, 87, 141, 161, 170, 174, 183]
train episode:206, reward = 0.9875987216121154, state count = 10, state = [17, 65, 66, 76, 87, 141, 161, 170, 174, 183]
train episode:207, reward = 0.9922739373533377, state count = 10, state = [5, 17, 76, 87, 91, 140, 141, 161, 170, 174]
train episode:208, reward = 0.9912576755114044, state count = 10, state = [17, 66, 76, 84, 87, 141, 161, 170, 174, 183]
evaluate episode:20.9, reward = 0.9912576755114044, state count = 10, state = [17, 66, 76, 87, 138, 141, 161, 170, 174, 183]
train episode:209, reward = 0.9912576755114044, state count = 10, state = [17, 66, 76, 87, 141, 159, 161, 170, 174, 183]
train episode:210, reward = 0.9882084777096762, state count = 10, state = [17, 59, 73, 76, 141, 161, 165, 170, 173, 174]
train episode:211, reward = 0.9953227195204741, state count = 10, state = [17, 30, 100, 106, 135, 136, 141, 161, 170, 180]
train episode:212, reward = 0.9926804397390466, state count = 10, state = [17, 18, 40, 69, 76, 114, 141, 161, 170, 174]
train episode:213, reward = 0.9906475071379154, state count = 10, state = [17, 28, 76, 87, 141, 161, 164, 170, 174, 183]
train episode:214, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 103, 104, 116, 141, 161, 170, 174]
train episode:215, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 130, 138, 141, 161, 170, 174, 183]
train episode:216, reward = 0.9912576755114044, state count = 10, state = [17, 76, 87, 124, 132, 141, 161, 170, 174, 183]
train episode:217, reward = 0.9912576755114044, state count = 10, state = [12, 17, 76, 87, 108, 141, 161, 170, 174, 183]
train episode:218, reward = 0.9878019736446356, state count = 10, state = [17, 25, 65, 76, 87, 102, 141, 161, 170, 174]
