train episode:157, reward = 0.9926829268292683, state count = 8, state = [20, 22, 63, 76, 95, 100, 118, 147]
train episode:158, reward = 0.9414634146341463, state count = 8, state = [1, 51, 76, 96, 100, 118, 132, 154]
evaluate episode:15.9, reward = 0.9853658536585366, state count = 8, state = [27, 33, 51, 76, 96, 100, 118, 132]
train episode:159, reward = 0.9853658536585366, state count = 8, state = [51, 68, 76, 80, 100, 118, 121, 126]
train episode:160, reward = 0.9414634146341463, state count = 8, state = [51, 76, 83, 96, 100, 118, 121, 132]
train episode:161, reward = 0.9853658536585366, state count = 8, state = [10, 26, 40, 75, 76, 100, 118, 163]
train episode:162, reward = 0.9642276422764228, state count = 8, state = [51, 55, 70, 76, 96, 100, 118, 163]
train episode:163, reward = 0.9878048780487805, state count = 8, state = [27, 38, 51, 76, 96, 100, 118, 132]
train episode:164, reward = 0.9414634146341463, state count = 8, state = [51, 76, 96, 100, 102, 108, 118, 132]
train episode:165, reward = 0.9447154471544715, state count = 8, state = [37, 50, 51, 76, 96, 100, 118, 132]
train episode:166, reward = 0.9780487804878049, state count = 8, state = [51, 67, 76, 96, 100, 118, 129, 132]
train episode:167, reward = 0.9422764227642276, state count = 8, state = [27, 51, 76, 94, 96, 100, 118, 132]
train episode:168, reward = 0.9447154471544715, state count = 8, state = [46, 51, 66, 76, 96, 100, 118, 152]
evaluate episode:16.9, reward = 0.973170731707317, state count = 8, state = [16, 27, 51, 76, 96, 100, 118, 132]
train episode:169, reward = 0.9878048780487805, state count = 8, state = [27, 38, 51, 76, 96, 100, 118, 132]
train episode:170, reward = 0.9959349593495935, state count = 8, state = [27, 51, 54, 76, 96, 100, 118, 132]
train episode:171, reward = 0.9479674796747968, state count = 8, state = [51, 55, 76, 87, 96, 100, 112, 118]
train episode:172, reward = 0.9414634146341463, state count = 8, state = [14, 51, 70, 76, 96, 100, 118, 132]
train episode:173, reward = 0.9414634146341463, state count = 8, state = [51, 76, 78, 96, 100, 104, 118, 131]
train episode:174, reward = 0.9853658536585366, state count = 8, state = [27, 33, 51, 76, 96, 100, 118, 132]
train episode:175, reward = 0.9211382113821138, state count = 8, state = [16, 29, 51, 76, 96, 100, 118, 138]
train episode:176, reward = 0.973170731707317, state count = 8, state = [16, 27, 51, 76, 96, 100, 118, 132]
train episode:177, reward = 0.9365853658536586, state count = 8, state = [51, 76, 96, 100, 118, 122, 126, 131]
train episode:178, reward = 0.9512195121951219, state count = 8, state = [7, 51, 64, 76, 96, 100, 118, 132]
evaluate episode:17.9, reward = 0.9853658536585366, state count = 8, state = [27, 33, 51, 76, 96, 100, 118, 132]
train episode:179, reward = 0.9959349593495935, state count = 8, state = [47, 51, 76, 96, 100, 118, 124, 132]
train episode:180, reward = 0.9422764227642276, state count = 8, state = [51, 76, 96, 100, 118, 139, 155, 162]
train episode:181, reward = 0.9853658536585366, state count = 8, state = [27, 33, 51, 76, 96, 100, 118, 132]
train episode:182, reward = 0.8349593495934959, state count = 8, state = [51, 53, 57, 76, 100, 107, 118, 124]
train episode:183, reward = 0.9308943089430894, state count = 8, state = [27, 51, 76, 88, 96, 100, 118, 132]
train episode:184, reward = 0.9975609756097561, state count = 8, state = [23, 34, 51, 76, 96, 100, 118, 138]
train episode:185, reward = 0, state count = 0, state = []
train episode:186, reward = 0.9796747967479674, state count = 8, state = [34, 51, 67, 76, 96, 100, 118, 125]
train episode:187, reward = 0.9406504065040651, state count = 8, state = [51, 74, 76, 94, 96, 100, 118, 146]
train episode:188, reward = 0.9398373983739837, state count = 8, state = [51, 76, 81, 96, 100, 118, 131, 132]
evaluate episode:18.9, reward = 0.9414634146341463, state count = 8, state = [13, 27, 51, 76, 96, 100, 118, 132]
train episode:189, reward = 0.9821138211382113, state count = 8, state = [27, 51, 76, 96, 100, 118, 132, 162]
train episode:190, reward = 0.9252032520325203, state count = 8, state = [18, 51, 76, 96, 100, 112, 118, 129]
train episode:191, reward = 0.9414634146341463, state count = 8, state = [13, 27, 51, 76, 96, 100, 118, 132]
train episode:192, reward = 0.9235772357723577, state count = 8, state = [41, 51, 76, 96, 100, 113, 118, 132]
train episode:193, reward = 0.9577235772357724, state count = 8, state = [51, 68, 76, 77, 91, 100, 118, 149]
train episode:194, reward = 0.8983739837398373, state count = 8, state = [28, 31, 51, 76, 96, 100, 118, 132]
train episode:195, reward = 0.9406504065040651, state count = 8, state = [18, 51, 76, 82, 96, 100, 103, 118]
train episode:196, reward = 0.865040650406504, state count = 8, state = [44, 51, 57, 76, 100, 118, 139, 154]
train episode:197, reward = 0.9414634146341463, state count = 8, state = [3, 51, 76, 100, 118, 126, 131, 161]
train episode:198, reward = 0.9414634146341463, state count = 8, state = [51, 76, 100, 105, 117, 118, 131, 153]
evaluate episode:19.9, reward = 0.9422764227642276, state count = 8, state = [27, 51, 76, 96, 100, 107, 118, 132]
train episode:199, reward = 0.9414634146341463, state count = 8, state = [20, 51, 76, 96, 100, 116, 117, 118]
train episode:200, reward = 0.9764227642276423, state count = 8, state = [25, 27, 38, 51, 76, 79, 104, 118]
train episode:201, reward = 0.9422764227642276, state count = 8, state = [27, 51, 76, 78, 96, 100, 118, 132]
train episode:202, reward = 0.9609756097560975, state count = 8, state = [45, 51, 76, 79, 96, 100, 118, 119]
train episode:203, reward = 0.9422764227642276, state count = 8, state = [7, 51, 76, 94, 96, 100, 118, 132]
train episode:204, reward = 0.9414634146341463, state count = 8, state = [51, 76, 96, 100, 107, 118, 131, 132]
train episode:205, reward = 0.9414634146341463, state count = 8, state = [12, 39, 51, 76, 100, 118, 156, 159]
train episode:206, reward = 0.9414634146341463, state count = 8, state = [51, 76, 96, 100, 118, 132, 137, 158]
