train episode:188, reward = 0.6772357723577236, state count = 5, state = [13, 15, 43, 94, 151]
evaluate episode:18.9, reward = 0.8829268292682927, state count = 5, state = [15, 43, 60, 90, 122]
train episode:189, reward = 0.8829268292682927, state count = 5, state = [15, 43, 60, 90, 122]
train episode:190, reward = 0.8235772357723578, state count = 5, state = [15, 43, 50, 143, 163]
train episode:191, reward = 0.8016260162601626, state count = 5, state = [15, 43, 73, 90, 122]
train episode:192, reward = 0.9536585365853658, state count = 5, state = [6, 15, 43, 65, 90]
train episode:193, reward = 0.8211382113821138, state count = 5, state = [15, 43, 86, 90, 122]
train episode:194, reward = 0.8292682926829268, state count = 5, state = [2, 15, 43, 90, 122]
train episode:195, reward = 0.9536585365853658, state count = 5, state = [15, 27, 43, 84, 90]
train episode:196, reward = 0.991869918699187, state count = 5, state = [15, 43, 47, 68, 90]
train episode:197, reward = 0.8699186991869918, state count = 5, state = [1, 15, 43, 60, 90]
train episode:198, reward = 0.883739837398374, state count = 5, state = [15, 43, 90, 109, 118]
evaluate episode:19.9, reward = 0.9186991869918699, state count = 5, state = [15, 28, 43, 60, 90]
train episode:199, reward = 0.9967479674796748, state count = 5, state = [15, 16, 40, 43, 90]
train episode:200, reward = 0.9130081300813008, state count = 5, state = [15, 43, 44, 100, 110]
train episode:201, reward = 0.8951219512195122, state count = 5, state = [15, 28, 43, 78, 90]
train episode:202, reward = 0.7869918699186992, state count = 5, state = [4, 15, 43, 90, 128]
train episode:203, reward = 0.8715447154471545, state count = 5, state = [15, 28, 43, 90, 94]
train episode:204, reward = 0.8780487804878049, state count = 5, state = [7, 15, 28, 43, 90]
train episode:205, reward = 0.8796747967479674, state count = 5, state = [15, 28, 43, 90, 140]
train episode:206, reward = 0.9967479674796748, state count = 5, state = [15, 23, 24, 43, 86]
train episode:207, reward = 0.8764227642276423, state count = 5, state = [5, 15, 28, 43, 90]
train episode:208, reward = 0.9186991869918699, state count = 5, state = [15, 28, 43, 60, 90]
evaluate episode:20.9, reward = 0.9577235772357724, state count = 5, state = [15, 16, 28, 43, 90]
train episode:209, reward = 0.9520325203252032, state count = 5, state = [15, 28, 43, 48, 90]
train episode:210, reward = 0.8796747967479674, state count = 5, state = [15, 28, 43, 90, 135]
train episode:211, reward = 0.7959349593495935, state count = 5, state = [15, 41, 43, 90, 154]
train episode:212, reward = 0.9967479674796748, state count = 5, state = [25, 34, 43, 108, 153]
train episode:213, reward = 0.8804878048780488, state count = 5, state = [15, 28, 43, 90, 157]
train episode:214, reward = 0.943089430894309, state count = 5, state = [4, 15, 18, 43, 90]
train episode:215, reward = 0.9373983739837398, state count = 5, state = [15, 28, 43, 90, 112]
train episode:216, reward = 0.9934959349593496, state count = 5, state = [15, 43, 54, 72, 90]
train episode:217, reward = 0.9577235772357724, state count = 5, state = [15, 16, 28, 43, 90]
train episode:218, reward = 0.9024390243902439, state count = 5, state = [15, 28, 43, 90, 125]
