evaluate episode:16.9, reward = 0.973170731707317, state count = 10, state = [24, 40, 41, 48, 64, 73, 113, 122, 136, 154]
train episode:169, reward = 0.9577235772357724, state count = 10, state = [24, 39, 40, 41, 48, 110, 122, 136, 144, 154]
train episode:170, reward = 0.9943089430894309, state count = 10, state = [11, 16, 40, 41, 47, 48, 97, 122, 136, 154]
train episode:171, reward = 0.9926829268292683, state count = 10, state = [3, 33, 40, 41, 48, 99, 122, 132, 136, 154]
train episode:172, reward = 0.9601626016260163, state count = 10, state = [37, 41, 48, 66, 109, 122, 123, 136, 149, 154]
train episode:173, reward = 0.973170731707317, state count = 10, state = [24, 40, 41, 48, 64, 73, 113, 122, 136, 154]
train episode:174, reward = 0.9739837398373984, state count = 10, state = [24, 40, 41, 48, 80, 115, 122, 136, 154, 159]
train episode:175, reward = 0.9691056910569106, state count = 10, state = [6, 24, 40, 41, 48, 73, 113, 122, 136, 154]
train episode:176, reward = 0.9943089430894309, state count = 10, state = [24, 36, 40, 41, 48, 120, 122, 136, 145, 154]
train episode:177, reward = 0.9682926829268292, state count = 10, state = [24, 40, 41, 46, 48, 73, 113, 122, 136, 154]
train episode:178, reward = 0.975609756097561, state count = 10, state = [24, 35, 40, 41, 48, 113, 118, 122, 136, 154]
evaluate episode:17.9, reward = 0.973170731707317, state count = 10, state = [24, 40, 41, 48, 64, 73, 113, 122, 136, 154]
train episode:179, reward = 0.9861788617886179, state count = 10, state = [24, 40, 41, 44, 48, 73, 116, 122, 136, 154]
train episode:180, reward = 0.9959349593495935, state count = 10, state = [24, 25, 40, 41, 48, 49, 118, 122, 136, 154]
train episode:181, reward = 0.9585365853658536, state count = 10, state = [24, 40, 41, 48, 113, 114, 122, 126, 136, 154]
train episode:182, reward = 0.9943089430894309, state count = 8, state = [24, 40, 41, 48, 122, 127, 136, 154]
train episode:183, reward = 0.5113821138211382, state count = 2, state = [128, 136]
train episode:184, reward = 0.9739837398373984, state count = 10, state = [24, 40, 41, 48, 85, 98, 122, 136, 154, 163]
train episode:185, reward = 0.9845528455284552, state count = 10, state = [24, 40, 41, 48, 62, 113, 122, 136, 154, 162]
train episode:186, reward = 0.9617886178861789, state count = 10, state = [24, 40, 41, 48, 58, 73, 113, 122, 136, 154]
train episode:187, reward = 0.9634146341463414, state count = 10, state = [24, 40, 41, 45, 48, 98, 110, 122, 136, 154]
train episode:188, reward = 0.9682926829268292, state count = 10, state = [24, 40, 41, 48, 73, 113, 116, 122, 136, 154]
evaluate episode:18.9, reward = 0.973170731707317, state count = 10, state = [24, 40, 41, 48, 64, 73, 113, 122, 136, 154]
train episode:189, reward = 0.973170731707317, state count = 10, state = [13, 24, 40, 41, 48, 113, 122, 136, 140, 154]
train episode:190, reward = 0.9934959349593496, state count = 10, state = [12, 40, 41, 44, 48, 101, 122, 136, 137, 154]
train episode:191, reward = 0.9951219512195122, state count = 10, state = [8, 40, 41, 48, 84, 96, 122, 136, 154, 156]
train episode:192, reward = 0.975609756097561, state count = 10, state = [24, 32, 40, 41, 48, 113, 122, 136, 139, 154]
train episode:193, reward = 0.9715447154471545, state count = 10, state = [12, 41, 48, 49, 70, 78, 122, 136, 147, 154]
train episode:194, reward = 0.9617886178861789, state count = 10, state = [40, 41, 48, 77, 110, 120, 122, 136, 154, 157]
train episode:195, reward = 0.9813008130081301, state count = 10, state = [24, 40, 41, 48, 97, 113, 122, 136, 140, 154]
train episode:196, reward = 0.9813008130081301, state count = 10, state = [5, 41, 48, 71, 75, 116, 122, 124, 136, 154]
train episode:197, reward = 0.9682926829268292, state count = 10, state = [24, 40, 41, 48, 73, 113, 122, 123, 136, 154]
train episode:198, reward = 0.9723577235772358, state count = 10, state = [24, 40, 41, 48, 113, 122, 123, 135, 136, 154]
evaluate episode:19.9, reward = 0.9682926829268292, state count = 10, state = [24, 40, 41, 48, 73, 113, 122, 136, 147, 154]
train episode:199, reward = 0.973170731707317, state count = 10, state = [24, 40, 41, 48, 113, 122, 136, 142, 147, 154]
train episode:200, reward = 0.9682926829268292, state count = 10, state = [24, 40, 41, 48, 73, 113, 122, 136, 147, 154]
train episode:201, reward = 0.9658536585365853, state count = 10, state = [28, 38, 41, 48, 66, 118, 132, 133, 136, 154]
train episode:202, reward = 0.9520325203252032, state count = 10, state = [24, 40, 41, 48, 89, 113, 122, 136, 154, 158]
train episode:203, reward = 0.983739837398374, state count = 10, state = [9, 24, 40, 41, 46, 48, 55, 122, 136, 154]
train episode:204, reward = 0.9682926829268292, state count = 10, state = [31, 41, 48, 65, 110, 122, 130, 132, 136, 154]
train episode:205, reward = 0.9926829268292683, state count = 10, state = [40, 41, 48, 63, 101, 122, 133, 136, 141, 154]
train episode:206, reward = 0.991869918699187, state count = 10, state = [16, 24, 40, 41, 48, 103, 122, 128, 136, 154]
train episode:207, reward = 0.9585365853658536, state count = 10, state = [24, 40, 41, 48, 109, 122, 136, 146, 154, 155]
train episode:208, reward = 0.9666666666666667, state count = 10, state = [24, 40, 41, 48, 49, 59, 122, 132, 136, 154]
evaluate episode:20.9, reward = 0.973170731707317, state count = 10, state = [24, 40, 41, 48, 85, 113, 122, 136, 147, 154]
train episode:209, reward = 0.9723577235772358, state count = 10, state = [24, 40, 41, 48, 82, 85, 113, 122, 136, 154]
train episode:210, reward = 0.9739837398373984, state count = 10, state = [24, 38, 40, 41, 48, 108, 113, 122, 136, 154]
train episode:211, reward = 0.973170731707317, state count = 10, state = [24, 40, 41, 48, 101, 113, 120, 122, 136, 154]
train episode:212, reward = 0.9699186991869919, state count = 10, state = [24, 40, 41, 44, 48, 109, 122, 136, 150, 154]
train episode:213, reward = 0.9715447154471545, state count = 10, state = [1, 41, 48, 63, 88, 122, 136, 140, 143, 154]
train episode:214, reward = 0.973170731707317, state count = 10, state = [24, 40, 41, 48, 99, 111, 113, 122, 136, 154]
train episode:215, reward = 0.973170731707317, state count = 10, state = [3, 24, 40, 41, 48, 113, 122, 136, 154, 159]
train episode:216, reward = 0.9723577235772358, state count = 10, state = [24, 40, 41, 48, 56, 113, 122, 136, 147, 154]
train episode:217, reward = 0.9764227642276423, state count = 10, state = [32, 41, 42, 48, 78, 122, 135, 136, 154, 162]
train episode:218, reward = 0.9528455284552846, state count = 10, state = [24, 31, 40, 41, 48, 113, 122, 131, 136, 154]
evaluate episode:21.9, reward = 0.973170731707317, state count = 10, state = [24, 40, 41, 48, 85, 113, 122, 136, 147, 154]
