train episode:137, reward = 0.9577235772357724, state count = 9, state = [41, 46, 57, 67, 103, 109, 111, 134, 158]
train episode:138, reward = 0.9617886178861789, state count = 9, state = [27, 41, 57, 67, 109, 114, 134, 147, 158]
evaluate episode:13.9, reward = 0.9869918699186991, state count = 9, state = [21, 41, 57, 61, 67, 109, 134, 147, 158]
train episode:139, reward = 0.9577235772357724, state count = 9, state = [21, 34, 41, 57, 67, 109, 134, 147, 158]
train episode:140, reward = 0.983739837398374, state count = 9, state = [10, 17, 30, 41, 49, 57, 67, 134, 158]
train episode:141, reward = 0.9577235772357724, state count = 9, state = [21, 41, 57, 67, 109, 134, 142, 147, 158]
train episode:142, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 109, 121, 126, 128, 134, 158]
train episode:143, reward = 0.9650406504065041, state count = 9, state = [28, 40, 41, 57, 67, 109, 134, 155, 158]
train episode:144, reward = 0.9609756097560975, state count = 9, state = [41, 57, 67, 109, 113, 134, 137, 147, 158]
train episode:145, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 109, 134, 137, 142, 147, 158]
train episode:146, reward = 0.8211382113821138, state count = 9, state = [1, 34, 37, 41, 57, 77, 111, 134, 149]
train episode:147, reward = 0.9577235772357724, state count = 9, state = [24, 41, 57, 67, 70, 109, 134, 147, 158]
train episode:148, reward = 0.9577235772357724, state count = 9, state = [21, 41, 57, 67, 70, 109, 134, 147, 158]
evaluate episode:14.9, reward = 0.9869918699186991, state count = 9, state = [21, 41, 57, 61, 67, 109, 134, 147, 158]
train episode:149, reward = 0.9577235772357724, state count = 9, state = [6, 41, 52, 57, 67, 109, 134, 147, 158]
train episode:150, reward = 0.9577235772357724, state count = 9, state = [21, 41, 57, 67, 109, 134, 140, 147, 158]
train episode:151, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 109, 134, 138, 139, 149, 158]
train episode:152, reward = 0.9715447154471545, state count = 9, state = [41, 57, 63, 67, 79, 109, 123, 134, 158]
train episode:153, reward = 0.7601626016260162, state count = 9, state = [19, 21, 41, 57, 67, 109, 134, 147, 158]
train episode:154, reward = 0.9617886178861789, state count = 9, state = [21, 41, 57, 67, 109, 114, 134, 147, 158]
train episode:155, reward = 0.9869918699186991, state count = 9, state = [21, 41, 57, 61, 67, 109, 134, 147, 158]
train episode:156, reward = 0.973170731707317, state count = 9, state = [28, 41, 57, 67, 79, 109, 134, 147, 158]
train episode:157, reward = 0.9609756097560975, state count = 9, state = [21, 41, 57, 67, 109, 113, 134, 147, 158]
train episode:158, reward = 0.9723577235772358, state count = 9, state = [16, 41, 57, 66, 67, 134, 142, 158, 161]
evaluate episode:15.9, reward = 0.9869918699186991, state count = 9, state = [21, 41, 57, 61, 67, 109, 134, 147, 158]
train episode:159, reward = 0.9699186991869919, state count = 9, state = [41, 57, 63, 67, 88, 109, 134, 147, 158]
train episode:160, reward = 0.973170731707317, state count = 9, state = [32, 41, 42, 57, 67, 85, 100, 134, 140]
train episode:161, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 98, 109, 133, 134, 151, 158]
train episode:162, reward = 0.9747967479674797, state count = 9, state = [13, 22, 41, 54, 57, 67, 75, 134, 158]
train episode:163, reward = 0.9739837398373984, state count = 9, state = [18, 41, 57, 67, 105, 134, 147, 152, 158]
train episode:164, reward = 0.9642276422764228, state count = 9, state = [41, 57, 63, 67, 109, 134, 147, 153, 158]
train episode:165, reward = 0.9634146341463414, state count = 9, state = [21, 41, 57, 67, 87, 109, 134, 147, 158]
train episode:166, reward = 0.9577235772357724, state count = 9, state = [22, 41, 57, 67, 109, 126, 134, 147, 158]
train episode:167, reward = 0.9577235772357724, state count = 9, state = [21, 41, 57, 67, 109, 126, 134, 147, 158]
train episode:168, reward = 0.9577235772357724, state count = 9, state = [14, 38, 41, 57, 67, 109, 134, 147, 158]
evaluate episode:16.9, reward = 0.9577235772357724, state count = 9, state = [21, 34, 41, 57, 67, 109, 134, 147, 158]
train episode:169, reward = 0.9577235772357724, state count = 9, state = [8, 21, 41, 57, 67, 109, 134, 147, 158]
train episode:170, reward = 0.9691056910569106, state count = 9, state = [39, 41, 57, 67, 72, 79, 109, 134, 158]
train episode:171, reward = 0.973170731707317, state count = 9, state = [41, 57, 67, 121, 134, 140, 145, 150, 158]
train episode:172, reward = 0.967479674796748, state count = 9, state = [41, 51, 57, 67, 97, 109, 134, 147, 158]
train episode:173, reward = 0.9715447154471545, state count = 9, state = [41, 57, 67, 81, 82, 84, 116, 134, 153]
train episode:174, reward = 0.9577235772357724, state count = 9, state = [21, 26, 41, 57, 67, 109, 134, 147, 158]
train episode:175, reward = 0.9577235772357724, state count = 9, state = [21, 34, 41, 57, 67, 109, 134, 147, 158]
train episode:176, reward = 0.9577235772357724, state count = 9, state = [37, 41, 57, 67, 109, 131, 134, 147, 158]
train episode:177, reward = 0.973170731707317, state count = 6, state = [10, 41, 57, 67, 123, 134]
train episode:178, reward = 0.9016260162601626, state count = 9, state = [1, 6, 41, 53, 57, 88, 95, 132, 134]
evaluate episode:17.9, reward = 0.9577235772357724, state count = 9, state = [21, 41, 57, 67, 85, 109, 134, 147, 158]
train episode:179, reward = 0.9642276422764228, state count = 9, state = [10, 34, 41, 43, 57, 67, 88, 134, 158]
train episode:180, reward = 0.9634146341463414, state count = 9, state = [26, 41, 49, 55, 57, 67, 109, 134, 158]
train episode:181, reward = 0.9577235772357724, state count = 9, state = [20, 41, 57, 67, 109, 122, 134, 145, 158]
train episode:182, reward = 0.9585365853658536, state count = 9, state = [41, 57, 67, 90, 105, 109, 134, 147, 158]
train episode:183, reward = 0.9642276422764228, state count = 9, state = [1, 41, 57, 63, 67, 109, 134, 147, 158]
train episode:184, reward = 0.9634146341463414, state count = 9, state = [27, 41, 57, 67, 89, 109, 125, 134, 158]
train episode:185, reward = 0.9691056910569106, state count = 9, state = [6, 41, 57, 67, 79, 109, 134, 147, 158]
train episode:186, reward = 0.9585365853658536, state count = 9, state = [2, 41, 57, 67, 94, 109, 124, 134, 158]
train episode:187, reward = 0.9626016260162602, state count = 9, state = [41, 57, 58, 67, 81, 109, 134, 139, 158]
train episode:188, reward = 0.9642276422764228, state count = 9, state = [41, 56, 57, 58, 67, 109, 112, 134, 158]
evaluate episode:18.9, reward = 0.9577235772357724, state count = 9, state = [38, 41, 57, 67, 109, 134, 140, 147, 158]
train episode:189, reward = 0.9617886178861789, state count = 9, state = [41, 57, 67, 70, 109, 114, 134, 147, 158]
train episode:190, reward = 0.975609756097561, state count = 9, state = [41, 45, 57, 67, 109, 134, 147, 152, 158]
train episode:191, reward = 0.973170731707317, state count = 9, state = [16, 27, 41, 57, 67, 99, 134, 157, 158]
train episode:192, reward = 0.9634146341463414, state count = 9, state = [22, 41, 57, 60, 67, 84, 109, 134, 158]
train episode:193, reward = 0.9691056910569106, state count = 9, state = [41, 42, 57, 67, 96, 97, 109, 134, 158]
train episode:194, reward = 0.973170731707317, state count = 9, state = [41, 42, 44, 57, 66, 67, 134, 150, 158]
train episode:195, reward = 0.9577235772357724, state count = 9, state = [38, 41, 57, 58, 67, 109, 134, 147, 158]
train episode:196, reward = 0.9780487804878049, state count = 9, state = [20, 41, 57, 67, 79, 117, 134, 157, 158]
train episode:197, reward = 0.989430894308943, state count = 9, state = [22, 33, 41, 57, 60, 67, 90, 93, 134]
train episode:198, reward = 0.9577235772357724, state count = 9, state = [8, 41, 57, 67, 109, 131, 134, 150, 158]
evaluate episode:19.9, reward = 0.9585365853658536, state count = 9, state = [41, 42, 57, 67, 109, 134, 140, 147, 158]
train episode:199, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 96, 109, 134, 135, 158, 159]
train episode:200, reward = 0.9601626016260163, state count = 9, state = [12, 41, 57, 64, 67, 109, 134, 137, 158]
train episode:201, reward = 0.975609756097561, state count = 9, state = [41, 45, 57, 67, 78, 109, 134, 147, 158]
train episode:202, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 92, 105, 109, 110, 134, 158]
train episode:203, reward = 0.9626016260162602, state count = 9, state = [7, 41, 57, 60, 67, 89, 109, 134, 158]
train episode:204, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 85, 106, 109, 134, 147, 158]
train episode:205, reward = 0.9585365853658536, state count = 9, state = [41, 42, 46, 57, 67, 109, 134, 147, 158]
train episode:206, reward = 0.9585365853658536, state count = 9, state = [41, 42, 57, 67, 109, 134, 140, 147, 158]
train episode:207, reward = 0.9154471544715447, state count = 9, state = [13, 41, 44, 45, 57, 66, 100, 105, 134]
train episode:208, reward = 0.9585365853658536, state count = 9, state = [41, 42, 57, 67, 96, 109, 134, 156, 158]
evaluate episode:20.9, reward = 0.9585365853658536, state count = 9, state = [41, 42, 57, 67, 109, 134, 140, 147, 158]
train episode:209, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 100, 109, 133, 134, 147, 158]
train episode:210, reward = 0.9739837398373984, state count = 9, state = [14, 27, 41, 53, 57, 67, 108, 134, 158]
train episode:211, reward = 0.9601626016260163, state count = 9, state = [41, 42, 57, 67, 109, 113, 134, 147, 158]
train episode:212, reward = 0.9650406504065041, state count = 9, state = [11, 28, 41, 57, 67, 109, 134, 147, 158]
train episode:213, reward = 0.9772357723577236, state count = 9, state = [13, 41, 45, 47, 50, 57, 67, 134, 139]
train episode:214, reward = 0.9585365853658536, state count = 9, state = [3, 29, 36, 41, 57, 67, 109, 134, 158]
train episode:215, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 77, 109, 116, 130, 134, 158]
train episode:216, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 102, 109, 134, 147, 158, 159]
train episode:217, reward = 0.9585365853658536, state count = 9, state = [41, 42, 57, 67, 105, 109, 134, 147, 158]
train episode:218, reward = 0.9577235772357724, state count = 9, state = [20, 41, 57, 67, 104, 109, 134, 147, 158]
evaluate episode:21.9, reward = 0.9585365853658536, state count = 9, state = [41, 42, 57, 67, 109, 115, 134, 147, 158]
train episode:219, reward = 0.9585365853658536, state count = 9, state = [41, 57, 67, 77, 93, 109, 125, 134, 158]
train episode:220, reward = 0.9577235772357724, state count = 9, state = [41, 57, 67, 108, 109, 134, 139, 147, 158]
train episode:221, reward = 0.967479674796748, state count = 9, state = [41, 57, 65, 67, 109, 125, 134, 147, 158]
train episode:222, reward = 0.9577235772357724, state count = 9, state = [4, 26, 41, 57, 67, 109, 134, 150, 158]
train episode:223, reward = 0.9747967479674797, state count = 9, state = [14, 27, 41, 57, 67, 91, 134, 155, 158]
train episode:224, reward = 0.9682926829268292, state count = 9, state = [1, 31, 41, 57, 67, 109, 134, 156, 158]
train episode:225, reward = 0.9585365853658536, state count = 9, state = [41, 42, 57, 67, 85, 109, 134, 147, 158]
train episode:226, reward = 0.7869918699186992, state count = 9, state = [9, 21, 38, 41, 53, 57, 134, 158, 161]
train episode:227, reward = 0.9626016260162602, state count = 9, state = [7, 41, 57, 67, 81, 109, 131, 134, 158]
train episode:228, reward = 0.973170731707317, state count = 9, state = [41, 46, 57, 66, 67, 98, 134, 138, 158]
evaluate episode:22.9, reward = 0.967479674796748, state count = 9, state = [41, 57, 65, 67, 109, 115, 134, 147, 158]
train episode:229, reward = 0.9577235772357724, state count = 9, state = [13, 18, 41, 57, 67, 109, 134, 152, 158]
