train episode:178, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
evaluate episode:17.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:179, reward = 0.601063829787234, state count = 5, state = [15, 30, 48, 155, 160]
train episode:180, reward = 0.6471631205673759, state count = 5, state = [48, 57, 67, 131, 155]
train episode:181, reward = 0.7145390070921985, state count = 5, state = [48, 62, 131, 155, 159]
train episode:182, reward = 0.6205673758865248, state count = 5, state = [42, 48, 71, 131, 155]
train episode:183, reward = 0.7021276595744681, state count = 5, state = [34, 48, 79, 131, 155]
train episode:184, reward = 0.7890070921985816, state count = 5, state = [34, 45, 48, 131, 155]
train episode:185, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:186, reward = 0.6205673758865248, state count = 5, state = [10, 48, 131, 155, 172]
train episode:187, reward = 0.7801418439716312, state count = 5, state = [34, 48, 131, 152, 155]
train episode:188, reward = 0.898936170212766, state count = 5, state = [48, 90, 131, 155, 167]
evaluate episode:18.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:189, reward = 0.6613475177304965, state count = 5, state = [6, 48, 63, 155, 175]
train episode:190, reward = 0.8120567375886525, state count = 5, state = [12, 33, 65, 101, 178]
train episode:191, reward = 0.6382978723404256, state count = 5, state = [24, 48, 55, 131, 155]
train episode:192, reward = 0.7836879432624113, state count = 5, state = [34, 48, 112, 131, 155]
train episode:193, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:194, reward = 0.8209219858156028, state count = 5, state = [23, 34, 48, 131, 155]
train episode:195, reward = 0.5035460992907801, state count = 5, state = [37, 48, 77, 81, 155]
train episode:196, reward = 0.7819148936170213, state count = 5, state = [34, 48, 129, 131, 155]
train episode:197, reward = 0.5407801418439716, state count = 5, state = [34, 44, 48, 131, 155]
train episode:198, reward = 0.7819148936170213, state count = 5, state = [4, 34, 48, 131, 155]
evaluate episode:19.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:199, reward = 0.7819148936170213, state count = 5, state = [7, 34, 48, 131, 155]
train episode:200, reward = 0.7535460992907801, state count = 5, state = [34, 48, 90, 131, 155]
train episode:201, reward = 0.7819148936170213, state count = 5, state = [34, 48, 129, 131, 155]
train episode:202, reward = 0.6205673758865248, state count = 5, state = [48, 131, 136, 155, 175]
train episode:203, reward = 0.7819148936170213, state count = 5, state = [34, 48, 131, 154, 155]
train episode:204, reward = 0.6205673758865248, state count = 5, state = [4, 48, 116, 131, 155]
train episode:205, reward = 0.7269503546099291, state count = 5, state = [34, 47, 48, 131, 155]
train episode:206, reward = 0.5212765957446809, state count = 5, state = [35, 48, 155, 170, 173]
train episode:207, reward = 0.648936170212766, state count = 5, state = [48, 66, 131, 155, 170]
train episode:208, reward = 0.7269503546099291, state count = 5, state = [34, 48, 54, 131, 155]
evaluate episode:20.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:209, reward = 0.725177304964539, state count = 5, state = [46, 48, 131, 155, 179]
train episode:210, reward = 0.599290780141844, state count = 1, state = [48]
train episode:211, reward = 0.599290780141844, state count = 5, state = [8, 48, 117, 127, 155]
train episode:212, reward = 0.774822695035461, state count = 5, state = [34, 48, 130, 131, 155]
train episode:213, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:214, reward = 0.6223404255319149, state count = 5, state = [48, 122, 131, 132, 155]
train episode:215, reward = 0.7180851063829787, state count = 5, state = [16, 31, 48, 131, 155]
train episode:216, reward = 0.7890070921985816, state count = 5, state = [34, 48, 131, 155, 165]
train episode:217, reward = 0.7836879432624113, state count = 5, state = [34, 48, 131, 134, 155]
train episode:218, reward = 0.7836879432624113, state count = 5, state = [34, 48, 131, 134, 155]
evaluate episode:21.9, reward = 0.7836879432624113, state count = 5, state = [34, 48, 131, 134, 155]
train episode:219, reward = 0.7836879432624113, state count = 5, state = [34, 48, 131, 134, 155]
train episode:220, reward = 0.7819148936170213, state count = 5, state = [34, 48, 96, 131, 155]
train episode:221, reward = 0.6187943262411347, state count = 5, state = [48, 94, 131, 155, 171]
train episode:222, reward = 0.5868794326241135, state count = 5, state = [48, 92, 150, 155, 183]
train episode:223, reward = 0.650709219858156, state count = 5, state = [29, 48, 95, 131, 155]
train episode:224, reward = 0.875886524822695, state count = 5, state = [34, 48, 62, 131, 155]
train episode:225, reward = 0.7978723404255319, state count = 5, state = [34, 48, 131, 155, 183]
train episode:226, reward = 0.599290780141844, state count = 5, state = [48, 131, 140, 155, 171]
train episode:227, reward = 0.45390070921985815, state count = 5, state = [37, 48, 97, 131, 155]
train episode:228, reward = 0.7624113475177305, state count = 5, state = [34, 48, 131, 140, 155]
evaluate episode:22.9, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
train episode:229, reward = 0.725177304964539, state count = 5, state = [7, 48, 147, 155, 179]
train episode:230, reward = 0.7819148936170213, state count = 5, state = [14, 34, 48, 131, 155]
train episode:231, reward = 0.7358156028368794, state count = 5, state = [34, 48, 65, 131, 155]
train episode:232, reward = 0.7801418439716312, state count = 5, state = [34, 48, 131, 132, 155]
train episode:233, reward = 0.8368794326241135, state count = 5, state = [23, 48, 86, 92, 155]
train episode:234, reward = 0.7464539007092199, state count = 5, state = [48, 131, 155, 168, 176]
train episode:235, reward = 0.6205673758865248, state count = 5, state = [3, 48, 131, 140, 155]
train episode:236, reward = 0.7588652482269503, state count = 5, state = [34, 48, 131, 155, 170]
train episode:237, reward = 0.599290780141844, state count = 2, state = [48, 155]
train episode:238, reward = 0.8120567375886525, state count = 5, state = [34, 48, 64, 131, 155]
evaluate episode:23.9, reward = 0.7358156028368794, state count = 5, state = [34, 48, 65, 131, 155]
train episode:239, reward = 0.8173758865248227, state count = 5, state = [9, 22, 48, 97, 155]
train episode:240, reward = 0.7819148936170213, state count = 5, state = [34, 48, 131, 153, 155]
train episode:241, reward = 0.7819148936170213, state count = 5, state = [24, 34, 48, 131, 155]
train episode:242, reward = 0.599290780141844, state count = 5, state = [48, 69, 155, 161, 169]
train episode:243, reward = 0.7180851063829787, state count = 5, state = [47, 48, 81, 140, 155]
train episode:244, reward = 0.7358156028368794, state count = 5, state = [34, 48, 65, 131, 155]
train episode:245, reward = 0.7819148936170213, state count = 5, state = [34, 48, 118, 131, 155]
train episode:246, reward = 0.7216312056737588, state count = 5, state = [48, 79, 131, 134, 155]
train episode:247, reward = 0.7021276595744681, state count = 5, state = [34, 48, 79, 131, 155]
train episode:248, reward = 0.7358156028368794, state count = 5, state = [34, 48, 65, 131, 155]
evaluate episode:24.9, reward = 0.7358156028368794, state count = 5, state = [34, 48, 65, 131, 155]
train episode:249, reward = 0.7819148936170213, state count = 5, state = [34, 48, 119, 131, 155]
train episode:250, reward = 0.7819148936170213, state count = 5, state = [34, 48, 104, 131, 155]
