evaluate episode:20.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:209, reward = 93.33333333333333, state count = 6, state = [21, 32, 46, 72, 129, 174]
train episode:210, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:211, reward = 76.91056910569107, state count = 6, state = [21, 46, 57, 129, 144, 174]
train episode:212, reward = 99.59349593495935, state count = 6, state = [17, 21, 46, 129, 144, 174]
train episode:213, reward = 95.9349593495935, state count = 6, state = [21, 46, 129, 144, 174, 175]
train episode:214, reward = 94.71544715447155, state count = 6, state = [21, 46, 100, 129, 144, 174]
train episode:215, reward = 75.9349593495935, state count = 6, state = [19, 21, 46, 120, 129, 174]
train episode:216, reward = 91.3821138211382, state count = 6, state = [21, 46, 92, 111, 129, 174]
train episode:217, reward = 96.26016260162602, state count = 6, state = [41, 46, 55, 143, 161, 174]
train episode:218, reward = 94.6341463414634, state count = 6, state = [46, 52, 76, 129, 165, 174]
evaluate episode:21.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:219, reward = 92.76422764227642, state count = 6, state = [21, 46, 72, 129, 141, 174]
train episode:220, reward = 99.51219512195122, state count = 6, state = [6, 25, 35, 46, 160, 174]
train episode:221, reward = 92.4390243902439, state count = 6, state = [21, 46, 99, 125, 129, 174]
train episode:222, reward = 93.90243902439023, state count = 6, state = [21, 46, 95, 129, 144, 174]
train episode:223, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:224, reward = 93.65853658536587, state count = 6, state = [21, 46, 75, 100, 129, 174]
train episode:225, reward = 92.76422764227642, state count = 6, state = [21, 39, 46, 129, 158, 174]
train episode:226, reward = 95.20325203252033, state count = 6, state = [21, 46, 129, 150, 174, 177]
train episode:227, reward = 94.71544715447155, state count = 6, state = [21, 46, 107, 129, 144, 174]
train episode:228, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
evaluate episode:22.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:229, reward = 86.1788617886179, state count = 6, state = [31, 44, 46, 58, 129, 174]
train episode:230, reward = 93.82113821138212, state count = 6, state = [21, 46, 129, 132, 144, 174]
train episode:231, reward = 94.71544715447155, state count = 6, state = [21, 46, 71, 129, 144, 174]
train episode:232, reward = 92.76422764227642, state count = 6, state = [8, 21, 46, 77, 129, 174]
train episode:233, reward = 93.33333333333333, state count = 6, state = [46, 104, 129, 151, 161, 174]
train episode:234, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:235, reward = 97.5609756097561, state count = 6, state = [46, 61, 106, 129, 133, 174]
train episode:236, reward = 95.20325203252033, state count = 6, state = [21, 46, 129, 144, 150, 174]
train episode:237, reward = 97.07317073170731, state count = 6, state = [21, 46, 129, 144, 163, 174]
train episode:238, reward = 93.73983739837398, state count = 6, state = [21, 46, 121, 129, 144, 174]
evaluate episode:23.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:239, reward = 96.50406504065042, state count = 6, state = [3, 21, 46, 129, 171, 174]
train episode:240, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:241, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:242, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:243, reward = 84.79674796747967, state count = 2, state = [46, 120]
train episode:244, reward = 97.80487804878048, state count = 6, state = [46, 61, 103, 111, 129, 174]
train episode:245, reward = 93.65853658536587, state count = 6, state = [21, 46, 90, 112, 129, 174]
train episode:246, reward = 94.8780487804878, state count = 6, state = [21, 46, 129, 142, 144, 174]
train episode:247, reward = 94.8780487804878, state count = 6, state = [21, 46, 129, 144, 154, 174]
train episode:248, reward = 94.71544715447155, state count = 6, state = [11, 21, 46, 129, 144, 174]
evaluate episode:24.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:249, reward = 97.64227642276423, state count = 6, state = [21, 26, 46, 55, 129, 174]
train episode:250, reward = 93.90243902439023, state count = 6, state = [21, 46, 53, 129, 144, 174]
train episode:251, reward = 88.53658536585365, state count = 6, state = [21, 46, 73, 129, 144, 174]
train episode:252, reward = 94.71544715447155, state count = 6, state = [21, 24, 46, 129, 144, 174]
train episode:253, reward = 86.09756097560975, state count = 6, state = [29, 46, 81, 107, 129, 158]
train episode:254, reward = 91.6260162601626, state count = 6, state = [21, 42, 46, 112, 129, 174]
train episode:255, reward = 93.2520325203252, state count = 6, state = [46, 127, 129, 136, 174, 181]
train episode:256, reward = 95.85365853658536, state count = 6, state = [6, 46, 98, 126, 129, 174]
train episode:257, reward = 91.21951219512195, state count = 6, state = [46, 87, 114, 129, 145, 160]
train episode:258, reward = 96.09756097560975, state count = 6, state = [6, 20, 46, 84, 129, 174]
evaluate episode:25.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:259, reward = 87.64227642276423, state count = 6, state = [21, 46, 66, 129, 166, 174]
train episode:260, reward = 87.5609756097561, state count = 2, state = [114, 174]
train episode:261, reward = 83.82113821138212, state count = 6, state = [21, 46, 60, 129, 144, 174]
train episode:262, reward = 94.71544715447155, state count = 6, state = [21, 46, 105, 129, 144, 174]
train episode:263, reward = 93.90243902439023, state count = 6, state = [21, 46, 129, 131, 174, 179]
train episode:264, reward = 91.6260162601626, state count = 6, state = [46, 70, 82, 93, 129, 174]
train episode:265, reward = 83.33333333333334, state count = 6, state = [46, 60, 71, 124, 129, 174]
train episode:266, reward = 95.60975609756098, state count = 6, state = [46, 55, 57, 75, 108, 129]
train episode:267, reward = 92.76422764227642, state count = 6, state = [5, 9, 46, 86, 129, 174]
train episode:268, reward = 92.19512195121952, state count = 6, state = [10, 21, 46, 122, 129, 174]
evaluate episode:26.9, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:269, reward = 94.95934959349593, state count = 6, state = [21, 46, 129, 145, 151, 174]
train episode:270, reward = 93.57723577235772, state count = 6, state = [20, 46, 129, 154, 161, 174]
train episode:271, reward = 99.59349593495935, state count = 6, state = [21, 25, 46, 129, 144, 174]
train episode:272, reward = 94.5528455284553, state count = 6, state = [21, 46, 129, 130, 144, 174]
train episode:273, reward = 93.33333333333333, state count = 6, state = [21, 46, 59, 129, 174, 179]
train episode:274, reward = 97.64227642276423, state count = 6, state = [21, 46, 120, 129, 144, 174]
train episode:275, reward = 87.47967479674796, state count = 6, state = [20, 31, 46, 76, 129, 169]
